,rotulo,referencia,coeficiente,erro_padrao,p_valor,efeito_percentual_aprox
Intercept,Constante,,1.3173887992184428,0.07630372426590855,8.620592981988204e-67,273.36593033491596
C(escolaridade)[T.2],Escolaridade: Fundamental incompleto ou equivalente,Referência: Sem instrução ou fundamental incompleto,0.1535978118435583,0.035271939169207595,1.3326482596328916e-05,16.60218322895828
C(escolaridade)[T.3],Escolaridade: Fundamental completo ou equivalente,Referência: Sem instrução ou fundamental incompleto,0.2878655591850701,0.03981219693658326,4.809102922399252e-13,33.3578004757346
C(escolaridade)[T.4],Escolaridade: Médio incompleto ou equivalente,Referência: Sem instrução ou fundamental incompleto,0.2721547593661839,0.040369379505161535,1.5663715527181636e-11,31.279015216283533
C(escolaridade)[T.5],Escolaridade: Médio completo ou equivalente,Referência: Sem instrução ou fundamental incompleto,0.3379110422772129,0.03738413292377617,1.582716157405024e-19,40.20157777268485
C(escolaridade)[T.6],Escolaridade: Superior incompleto ou equivalente,Referência: Sem instrução ou fundamental incompleto,0.43425230859660935,0.03852980385290281,1.834082226584353e-29,54.38083350959493
C(escolaridade)[T.7],Escolaridade: Superior completo,Referência: Sem instrução ou fundamental incompleto,0.6856783845466763,0.04578209414188361,1.0379904450413993e-50,98.51180522692059
C(ocupacao_grupo)[T.10],"Ocupação: Membros das forças armadas, policiais e bombeiros militares",Referência: Dirigentes e gerentes,-0.26187500659871205,0.05392371445185087,1.1954045247246559e-06,-23.039278648082174
C(ocupacao_grupo)[T.11],Ocupação: Ocupações mal definidas,Referência: Dirigentes e gerentes,-0.7749791579098144,0.048068519413980576,1.776209646300273e-58,-53.92866168712178
C(ocupacao_grupo)[T.2],Ocupação: Profissionais das ciências e intelectuais,Referência: Dirigentes e gerentes,0.1135868532923873,0.034700490375752686,0.0010628075058190115,12.028918547123935
C(ocupacao_grupo)[T.3],Ocupação: Técnicos e profissionais de nível médio,Referência: Dirigentes e gerentes,-0.2416783491755106,0.03395514679527794,1.0984139115653307e-12,-21.469126786637315
C(ocupacao_grupo)[T.4],Ocupação: Trabalhadores de apoio administrativo,Referência: Dirigentes e gerentes,-0.49021880020611197,0.03065556426156891,1.4720396989724586e-57,-38.75076339336765
C(ocupacao_grupo)[T.5],Ocupação: Trabalhadores dos serviços e vendedores,Referência: Dirigentes e gerentes,-0.4956585951261531,0.029567541012970922,4.504586647242836e-63,-39.083042096135735
C(ocupacao_grupo)[T.6],"Ocupação: Trabalhadores agropecuários, florestais, da caça e pesca",Referência: Dirigentes e gerentes,-0.7414771326229695,0.04951162962590173,1.0566045610083287e-50,-52.35903247522637
C(ocupacao_grupo)[T.7],"Ocupação: Trabalhadores qualificados da indústria, construção e artes",Referência: Dirigentes e gerentes,-0.5536870688250586,0.0313161035730336,5.917771328412204e-70,-42.517352642904235
C(ocupacao_grupo)[T.8],"Ocupação: Operadores de instalações, máquinas e montadores",Referência: Dirigentes e gerentes,-0.5388872175401582,0.038338467301128665,7.073018447595105e-45,-41.66029146542433
C(ocupacao_grupo)[T.9],Ocupação: Ocupações elementares,Referência: Dirigentes e gerentes,-0.7346097403307298,0.03019493458881832,9.695506293815675e-131,-52.030737286355624
